P1 X: 11     P1 Y: 29
P23 X: 21     P23 Y: 19
P24 X: 3     P24 Y: 12
P25 X: 21     P25 Y: 8
P26 X: 24     P26 Y: 26
P27 X: 28     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 25     P29 Y: 7
P30 X: 29     P30 Y: 1
P31 X: 4     P31 Y: 13
P32 X: 9     P32 Y: 11
P33 X: 2     P33 Y: 8
P34 X: 11     P34 Y: 17
P35 X: 21     P35 Y: 20
P36 X: 17     P36 Y: 30
P37 X: 29     P37 Y: 24
P38 X: 28     P38 Y: 27
P39 X: 17     P39 Y: 24
P40 X: 16     P40 Y: 1
P41 X: 18     P41 Y: 18
P42 X: 29     P42 Y: 6
P43 X: 27     P43 Y: 8
P44 X: 2     P44 Y: 4
P45 X: 9     P45 Y: 5
P46 X: 8     P46 Y: 30
P47 X: 3     P47 Y: 29
P48 X: 5     P48 Y: 9
P49 X: 28     P49 Y: 17
P50 X: 19     P50 Y: 24
P51 X: 6     P51 Y: 9
P52 X: 12     P52 Y: 7
P53 X: 28     P53 Y: 23
P54 X: 2     P54 Y: 1
P55 X: 25     P55 Y: 17
P56 X: 25     P56 Y: 21
P57 X: 18     P57 Y: 21
P58 X: 8     P58 Y: 22
P59 X: 2     P59 Y: 11
P60 X: 17     P60 Y: 8
P61 X: 26     P61 Y: 24
P62 X: 29     P62 Y: 22
P63 X: 23     P63 Y: 0
P64 X: 11     P64 Y: 28
P65 X: 22     P65 Y: 3
P66 X: 12     P66 Y: 7
P67 X: 15     P67 Y: 25
P68 X: 5     P68 Y: 19
P69 X: 15     P69 Y: 28
P70 X: 19     P70 Y: 23
P71 X: 16     P71 Y: 8
P72 X: 25     P72 Y: 21
P73 X: 25     P73 Y: 19
P74 X: 20     P74 Y: 22
P75 X: 7     P75 Y: 4
P76 X: 25     P76 Y: 15
P77 X: 9     P77 Y: 10
P78 X: 26     P78 Y: 25
P79 X: 14     P79 Y: 14
P80 X: 24     P80 Y: 0
P81 X: 14     P81 Y: 15
P82 X: 26     P82 Y: 1
P83 X: 5     P83 Y: 18
P84 X: 15     P84 Y: 10
P85 X: 18     P85 Y: 16
P86 X: 7     P86 Y: 0
P87 X: 9     P87 Y: 16
P88 X: 9     P88 Y: 3
P89 X: 8     P89 Y: 26
P90 X: 24     P90 Y: 16
P91 X: 0     P91 Y: 9
P92 X: 6     P92 Y: 15
P93 X: 23     P93 Y: 26
P94 X: 19     P94 Y: 29
P95 X: 24     P95 Y: 26
P96 X: 21     P96 Y: 4
P97 X: 3     P97 Y: 12
P98 X: 2     P98 Y: 15
P99 X: 7     P99 Y: 25
P100 X: 24     P100 Y: 19

P1 X: 5     P1 Y: 22
P2 X: 6     P2 Y: 11
P3 X: 29     P3 Y: 28
P4 X: 27     P4 Y: 4
P5 X: 30     P5 Y: 22
P6 X: 27     P6 Y: 20
P7 X: 7     P7 Y: 25
P8 X: 16     P8 Y: 18
P9 X: 27     P9 Y: 11
P10 X: 22     P10 Y: 0
P11 X: 8     P11 Y: 19
P12 X: 6     P12 Y: 19
P13 X: 19     P13 Y: 21
P14 X: 24     P14 Y: 9
P15 X: 8     P15 Y: 8
P16 X: 1     P16 Y: 18
P17 X: 1     P17 Y: 15
P18 X: 1     P18 Y: 21
P19 X: 9     P19 Y: 12
P20 X: 27     P20 Y: 11
P21 X: 16     P21 Y: 7
P22 X: 29     P22 Y: 16
P23 X: 28     P23 Y: 30
P24 X: 7     P24 Y: 1
P25 X: 24     P25 Y: 7
P26 X: 2     P26 Y: 8
P27 X: 6     P27 Y: 2
P28 X: 5     P28 Y: 15
P29 X: 21     P29 Y: 17
P30 X: 29     P30 Y: 24
P31 X: 27     P31 Y: 8
P32 X: 27     P32 Y: 10
P33 X: 13     P33 Y: 25
P34 X: 28     P34 Y: 18
P35 X: 20     P35 Y: 20
P36 X: 2     P36 Y: 4
P37 X: 25     P37 Y: 24
P38 X: 21     P38 Y: 27
P39 X: 4     P39 Y: 24
P40 X: 15     P40 Y: 4
P41 X: 13     P41 Y: 29
P42 X: 5     P42 Y: 11
P43 X: 14     P43 Y: 16
P44 X: 20     P44 Y: 19
P45 X: 7     P45 Y: 8
P46 X: 9     P46 Y: 17
P47 X: 14     P47 Y: 29
P48 X: 8     P48 Y: 7
P49 X: 14     P49 Y: 6
P50 X: 22     P50 Y: 11
P51 X: 11     P51 Y: 2
P52 X: 9     P52 Y: 18
P53 X: 9     P53 Y: 23
P54 X: 25     P54 Y: 1
P55 X: 22     P55 Y: 17
P56 X: 30     P56 Y: 27
P57 X: 25     P57 Y: 24
P58 X: 18     P58 Y: 15
P59 X: 5     P59 Y: 21
P60 X: 19     P60 Y: 16
P61 X: 28     P61 Y: 3
P62 X: 29     P62 Y: 1
P63 X: 28     P63 Y: 10
P64 X: 11     P64 Y: 28
P65 X: 21     P65 Y: 7
P66 X: 1     P66 Y: 18
P67 X: 25     P67 Y: 4
P68 X: 16     P68 Y: 24
P69 X: 26     P69 Y: 15
P70 X: 21     P70 Y: 27
P71 X: 3     P71 Y: 11
P72 X: 18     P72 Y: 26
P73 X: 13     P73 Y: 11
P74 X: 23     P74 Y: 3
P75 X: 2     P75 Y: 27
P76 X: 10     P76 Y: 15
P77 X: 9     P77 Y: 14
P78 X: 9     P78 Y: 15
P79 X: 14     P79 Y: 23
P80 X: 9     P80 Y: 23
P81 X: 14     P81 Y: 1
P82 X: 30     P82 Y: 11
P83 X: 10     P83 Y: 24
P84 X: 6     P84 Y: 2
P85 X: 27     P85 Y: 19
P86 X: 8     P86 Y: 15
P87 X: 14     P87 Y: 27
P88 X: 26     P88 Y: 20
P89 X: 10     P89 Y: 7
P90 X: 25     P90 Y: 5
P91 X: 16     P91 Y: 26
P92 X: 9     P92 Y: 28
P93 X: 3     P93 Y: 22
P94 X: 12     P94 Y: 17
P95 X: 24     P95 Y: 16
P96 X: 21     P96 Y: 30
P97 X: 12     P97 Y: 3
P98 X: 26     P98 Y: 0
P99 X: 16     P99 Y: 24
P100 X: 16     P100 Y: 30

P1 X: 6     P1 Y: 6
P2 X: 7     P2 Y: 11
P3 X: 29     P3 Y: 11
P4 X: 29     P4 Y: 26
P5 X: 19     P5 Y: 23
P6 X: 29     P6 Y: 20
P7 X: 28     P7 Y: 27
P8 X: 4     P8 Y: 7
P9 X: 18     P9 Y: 7
P10 X: 17     P10 Y: 0
P11 X: 8     P11 Y: 15
P12 X: 6     P12 Y: 4
P13 X: 15     P13 Y: 21
P14 X: 25     P14 Y: 16
P15 X: 9     P15 Y: 29
P16 X: 7     P16 Y: 13
P17 X: 20     P17 Y: 5
P18 X: 7     P18 Y: 24
P19 X: 11     P19 Y: 12
P20 X: 24     P20 Y: 11
P21 X: 26     P21 Y: 18
P22 X: 5     P22 Y: 23
P23 X: 18     P23 Y: 20
P24 X: 16     P24 Y: 13
P25 X: 26     P25 Y: 7
P26 X: 19     P26 Y: 17
P27 X: 15     P27 Y: 2
P28 X: 24     P28 Y: 15
P29 X: 18     P29 Y: 20
P30 X: 29     P30 Y: 12
P31 X: 11     P31 Y: 28
P32 X: 4     P32 Y: 30
P33 X: 27     P33 Y: 19
P34 X: 16     P34 Y: 6
P35 X: 2     P35 Y: 20
P36 X: 12     P36 Y: 21
P37 X: 22     P37 Y: 24
P38 X: 11     P38 Y: 27
P39 X: 8     P39 Y: 24
P40 X: 15     P40 Y: 6
P41 X: 9     P41 Y: 21
P42 X: 20     P42 Y: 27
P43 X: 2     P43 Y: 21
P44 X: 19     P44 Y: 27
P45 X: 22     P45 Y: 10
P46 X: 25     P46 Y: 5
P47 X: 30     P47 Y: 29
P48 X: 10     P48 Y: 22
P49 X: 1     P49 Y: 28
P50 X: 4     P50 Y: 13
P51 X: 27     P51 Y: 4
P52 X: 29     P52 Y: 28
P53 X: 9     P53 Y: 23
P54 X: 13     P54 Y: 2
P55 X: 10     P55 Y: 8
P56 X: 26     P56 Y: 16
P57 X: 9     P57 Y: 26
P58 X: 27     P58 Y: 9
P59 X: 7     P59 Y: 30
P60 X: 20     P60 Y: 21
P61 X: 23     P61 Y: 17
P62 X: 29     P62 Y: 19
P63 X: 28     P63 Y: 19
P64 X: 28     P64 Y: 28
P65 X: 5     P65 Y: 16
P66 X: 13     P66 Y: 28
P67 X: 26     P67 Y: 16
P68 X: 26     P68 Y: 8
P69 X: 8     P69 Y: 3
P70 X: 22     P70 Y: 30
P71 X: 9     P71 Y: 13
P72 X: 12     P72 Y: 14
P73 X: 2     P73 Y: 4
P74 X: 7     P74 Y: 15
P75 X: 10     P75 Y: 11
P76 X: 14     P76 Y: 15
P77 X: 9     P77 Y: 17
P78 X: 15     P78 Y: 4
P79 X: 14     P79 Y: 29
P80 X: 5     P80 Y: 15
P81 X: 14     P81 Y: 16
P82 X: 27     P82 Y: 20
P83 X: 24     P83 Y: 7
P84 X: 26     P84 Y: 5
P85 X: 25     P85 Y: 5
P86 X: 8     P86 Y: 29
P87 X: 24     P87 Y: 11
P88 X: 18     P88 Y: 18
P89 X: 11     P89 Y: 11
P90 X: 15     P90 Y: 25
P91 X: 29     P91 Y: 18
P92 X: 23     P92 Y: 12
P93 X: 16     P93 Y: 11
P94 X: 6     P94 Y: 6
P95 X: 24     P95 Y: 1
P96 X: 21     P96 Y: 5
P97 X: 20     P97 Y: 17
P98 X: 11     P98 Y: 14
P99 X: 24     P99 Y: 14
P100 X: 3     P100 Y: 20

P1 X: 6     P1 Y: 9
P2 X: 19     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 26     P4 Y: 13
P5 X: 9     P5 Y: 9
P6 X: 30     P6 Y: 20
P7 X: 12     P7 Y: 28
P8 X: 7     P8 Y: 3
P9 X: 4     P9 Y: 4
P10 X: 3     P10 Y: 0
P11 X: 8     P11 Y: 12
P12 X: 6     P12 Y: 26
P13 X: 12     P13 Y: 21
P14 X: 15     P14 Y: 22
P15 X: 9     P15 Y: 11
P16 X: 14     P16 Y: 9
P17 X: 22     P17 Y: 24
P18 X: 12     P18 Y: 26
P19 X: 30     P19 Y: 12
P20 X: 22     P20 Y: 11
P21 X: 25     P21 Y: 18
P22 X: 18     P22 Y: 3
P23 X: 9     P23 Y: 11
P24 X: 24     P24 Y: 24
P25 X: 27     P25 Y: 7
P26 X: 21     P26 Y: 19
P27 X: 25     P27 Y: 2
P28 X: 18     P28 Y: 15
P29 X: 16     P29 Y: 2
P30 X: 29     P30 Y: 11
P31 X: 10     P31 Y: 13
P32 X: 18     P32 Y: 11
P33 X: 20     P33 Y: 4
P34 X: 1     P34 Y: 29
P35 X: 15     P35 Y: 20
P36 X: 25     P36 Y: 15
P37 X: 20     P37 Y: 24
P38 X: 2     P38 Y: 27
P39 X: 19     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 6     P41 Y: 12
P42 X: 16     P42 Y: 18
P43 X: 9     P43 Y: 1
P44 X: 1     P44 Y: 14
P45 X: 24     P45 Y: 11
P46 X: 20     P46 Y: 6
P47 X: 15     P47 Y: 29
P48 X: 11     P48 Y: 24
P49 X: 11     P49 Y: 11
P50 X: 13     P50 Y: 24
P51 X: 18     P51 Y: 9
P52 X: 12     P52 Y: 23
P53 X: 26     P53 Y: 23
P54 X: 8     P54 Y: 2
P55 X: 1     P55 Y: 28
P56 X: 23     P56 Y: 6
P57 X: 6     P57 Y: 27
P58 X: 25     P58 Y: 4
P59 X: 8     P59 Y: 22
P60 X: 20     P60 Y: 1
P61 X: 19     P61 Y: 24
P62 X: 29     P62 Y: 22
P63 X: 25     P63 Y: 27
P64 X: 8     P64 Y: 28
P65 X: 10     P65 Y: 24
P66 X: 24     P66 Y: 23
P67 X: 18     P67 Y: 25
P68 X: 25     P68 Y: 7
P69 X: 9     P69 Y: 8
P70 X: 22     P70 Y: 28
P71 X: 20     P71 Y: 14
P72 X: 7     P72 Y: 3
P73 X: 8     P73 Y: 2
P74 X: 8     P74 Y: 28
P75 X: 17     P75 Y: 10
P76 X: 23     P76 Y: 15
P77 X: 9     P77 Y: 19
P78 X: 22     P78 Y: 22
P79 X: 14     P79 Y: 22
P80 X: 18     P80 Y: 6
P81 X: 14     P81 Y: 30
P82 X: 25     P82 Y: 28
P83 X: 23     P83 Y: 9
P84 X: 15     P84 Y: 11
P85 X: 18     P85 Y: 28
P86 X: 8     P86 Y: 18
P87 X: 3     P87 Y: 4
P88 X: 3     P88 Y: 3
P89 X: 11     P89 Y: 28
P90 X: 6     P90 Y: 16
P91 X: 15     P91 Y: 3
P92 X: 24     P92 Y: 3
P93 X: 26     P93 Y: 1
P94 X: 1     P94 Y: 4
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 19
P97 X: 27     P97 Y: 30
P98 X: 11     P98 Y: 27
P99 X: 29     P99 Y: 5
P100 X: 21     P100 Y: 11

P1 X: 6     P1 Y: 23
P2 X: 30     P2 Y: 11
P3 X: 28     P3 Y: 20
P4 X: 24     P4 Y: 7
P5 X: 0     P5 Y: 4
P6 X: 30     P6 Y: 20
P7 X: 7     P7 Y: 28
P8 X: 17     P8 Y: 12
P9 X: 9     P9 Y: 2
P10 X: 22     P10 Y: 0
P11 X: 8     P11 Y: 10
P12 X: 6     P12 Y: 13
P13 X: 10     P13 Y: 21
P14 X: 6     P14 Y: 27
P15 X: 9     P15 Y: 8
P16 X: 20     P16 Y: 6
P17 X: 5     P17 Y: 18
P18 X: 16     P18 Y: 27
P19 X: 12     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 17     P21 Y: 5
P22 X: 20     P22 Y: 16
P23 X: 1     P23 Y: 3
P24 X: 29     P24 Y: 26
P25 X: 27     P25 Y: 7
P26 X: 2     P26 Y: 4
P27 X: 6     P27 Y: 2
P28 X: 1     P28 Y: 15
P29 X: 15     P29 Y: 23
P30 X: 29     P30 Y: 27
P31 X: 30     P31 Y: 5
P32 X: 21     P32 Y: 7
P33 X: 8     P33 Y: 10
P34 X: 13     P34 Y: 9
P35 X: 29     P35 Y: 20
P36 X: 23     P36 Y: 8
P37 X: 19     P37 Y: 24
P38 X: 6     P38 Y: 27
P39 X: 29     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 4     P41 Y: 4
P42 X: 7     P42 Y: 4
P43 X: 19     P43 Y: 22
P44 X: 20     P44 Y: 2
P45 X: 11     P45 Y: 11
P46 X: 6     P46 Y: 16
P47 X: 1     P47 Y: 29
P48 X: 11     P48 Y: 11
P49 X: 22     P49 Y: 9
P50 X: 29     P50 Y: 2
P51 X: 4     P51 Y: 13
P52 X: 6     P52 Y: 15
P53 X: 18     P53 Y: 23
P54 X: 28     P54 Y: 2
P55 X: 11     P55 Y: 5
P56 X: 21     P56 Y: 3
P57 X: 20     P57 Y: 27
P58 X: 18     P58 Y: 0
P59 X: 8     P59 Y: 15
P60 X: 20     P60 Y: 22
P61 X: 16     P61 Y: 6
P62 X: 29     P62 Y: 4
P63 X: 23     P63 Y: 26
P64 X: 11     P64 Y: 28
P65 X: 24     P65 Y: 29
P66 X: 26     P66 Y: 15
P67 X: 11     P67 Y: 7
P68 X: 17     P68 Y: 21
P69 X: 25     P69 Y: 18
P70 X: 22     P70 Y: 27
P71 X: 30     P71 Y: 14
P72 X: 3     P72 Y: 7
P73 X: 17     P73 Y: 7
P74 X: 22     P74 Y: 12
P75 X: 23     P75 Y: 30
P76 X: 1     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 0     P78 Y: 21
P79 X: 14     P79 Y: 16
P80 X: 30     P80 Y: 26
P81 X: 14     P81 Y: 17
P82 X: 24     P82 Y: 25
P83 X: 11     P83 Y: 24
P84 X: 3     P84 Y: 16
P85 X: 12     P85 Y: 10
P86 X: 8     P86 Y: 6
P87 X: 17     P87 Y: 18
P88 X: 11     P88 Y: 23
P89 X: 11     P89 Y: 16
P90 X: 2     P90 Y: 2
P91 X: 2     P91 Y: 11
P92 X: 12     P92 Y: 17
P93 X: 9     P93 Y: 8
P94 X: 3     P94 Y: 13
P95 X: 24     P95 Y: 28
P96 X: 21     P96 Y: 18
P97 X: 27     P97 Y: 18
P98 X: 28     P98 Y: 21
P99 X: 23     P99 Y: 3
P100 X: 22     P100 Y: 3

P1 X: 6     P1 Y: 24
P2 X: 20     P2 Y: 11
P3 X: 28     P3 Y: 26
P4 X: 23     P4 Y: 26
P5 X: 8     P5 Y: 16
P6 X: 30     P6 Y: 20
P7 X: 25     P7 Y: 28
P8 X: 26     P8 Y: 20
P9 X: 21     P9 Y: 1
P10 X: 20     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 7
P13 X: 9     P13 Y: 21
P14 X: 2     P14 Y: 29
P15 X: 9     P15 Y: 26
P16 X: 25     P16 Y: 4
P17 X: 11     P17 Y: 1
P18 X: 19     P18 Y: 27
P19 X: 5     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 10     P21 Y: 27
P22 X: 1     P22 Y: 26
P23 X: 6     P23 Y: 4
P24 X: 23     P24 Y: 17
P25 X: 27     P25 Y: 7
P26 X: 16     P26 Y: 26
P27 X: 12     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 17
P30 X: 29     P30 Y: 6
P31 X: 11     P31 Y: 22
P32 X: 1     P32 Y: 24
P33 X: 3     P33 Y: 23
P34 X: 26     P34 Y: 12
P35 X: 14     P35 Y: 20
P36 X: 12     P36 Y: 30
P37 X: 19     P37 Y: 24
P38 X: 13     P38 Y: 27
P39 X: 22     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 3
P42 X: 29     P42 Y: 9
P43 X: 28     P43 Y: 18
P44 X: 22     P44 Y: 9
P45 X: 1     P45 Y: 11
P46 X: 7     P46 Y: 25
P47 X: 12     P47 Y: 29
P48 X: 11     P48 Y: 1
P49 X: 28     P49 Y: 28
P50 X: 16     P50 Y: 19
P51 X: 9     P51 Y: 16
P52 X: 23     P52 Y: 8
P53 X: 3     P53 Y: 23
P54 X: 13     P54 Y: 2
P55 X: 20     P55 Y: 17
P56 X: 20     P56 Y: 11
P57 X: 27     P57 Y: 27
P58 X: 12     P58 Y: 3
P59 X: 8     P59 Y: 9
P60 X: 20     P60 Y: 18
P61 X: 14     P61 Y: 11
P62 X: 29     P62 Y: 13
P63 X: 22     P63 Y: 20
P64 X: 29     P64 Y: 28
P65 X: 23     P65 Y: 23
P66 X: 17     P66 Y: 8
P67 X: 5     P67 Y: 10
P68 X: 10     P68 Y: 26
P69 X: 20     P69 Y: 27
P70 X: 22     P70 Y: 27
P71 X: 21     P71 Y: 14
P72 X: 0     P72 Y: 16
P73 X: 25     P73 Y: 11
P74 X: 25     P74 Y: 3
P75 X: 28     P75 Y: 11
P76 X: 20     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 21     P78 Y: 5
P79 X: 14     P79 Y: 11
P80 X: 19     P80 Y: 15
P81 X: 14     P81 Y: 5
P82 X: 24     P82 Y: 19
P83 X: 0     P83 Y: 22
P84 X: 20     P84 Y: 20
P85 X: 7     P85 Y: 11
P86 X: 8     P86 Y: 5
P87 X: 24     P87 Y: 29
P88 X: 24     P88 Y: 18
P89 X: 11     P89 Y: 1
P90 X: 9     P90 Y: 19
P91 X: 10     P91 Y: 24
P92 X: 1     P92 Y: 30
P93 X: 7     P93 Y: 16
P94 X: 6     P94 Y: 21
P95 X: 24     P95 Y: 14
P96 X: 21     P96 Y: 4
P97 X: 22     P97 Y: 7
P98 X: 8     P98 Y: 10
P99 X: 18     P99 Y: 10
P100 X: 6     P100 Y: 4

P1 X: 6     P1 Y: 12
P2 X: 11     P2 Y: 11
P3 X: 28     P3 Y: 13
P4 X: 23     P4 Y: 16
P5 X: 15     P5 Y: 27
P6 X: 30     P6 Y: 20
P7 X: 18     P7 Y: 28
P8 X: 26     P8 Y: 27
P9 X: 28     P9 Y: 1
P10 X: 3     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 26
P13 X: 9     P13 Y: 21
P14 X: 9     P14 Y: 26
P15 X: 9     P15 Y: 17
P16 X: 29     P16 Y: 3
P17 X: 26     P17 Y: 15
P18 X: 21     P18 Y: 27
P19 X: 21     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 4     P21 Y: 12
P22 X: 21     P22 Y: 9
P23 X: 12     P23 Y: 10
P24 X: 18     P24 Y: 9
P25 X: 27     P25 Y: 7
P26 X: 27     P26 Y: 13
P27 X: 29     P27 Y: 2
P28 X: 30     P28 Y: 15
P29 X: 15     P29 Y: 2
P30 X: 29     P30 Y: 14
P31 X: 7     P31 Y: 22
P32 X: 18     P32 Y: 20
P33 X: 13     P33 Y: 25
P34 X: 22     P34 Y: 28
P35 X: 0     P35 Y: 20
P36 X: 2     P36 Y: 9
P37 X: 19     P37 Y: 24
P38 X: 19     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 9
P42 X: 10     P42 Y: 21
P43 X: 24     P43 Y: 1
P44 X: 5     P44 Y: 19
P45 X: 12     P45 Y: 11
P46 X: 19     P46 Y: 27
P47 X: 24     P47 Y: 29
P48 X: 11     P48 Y: 12
P49 X: 19     P49 Y: 14
P50 X: 2     P50 Y: 21
P51 X: 21     P51 Y: 18
P52 X: 21     P52 Y: 2
P53 X: 11     P53 Y: 23
P54 X: 5     P54 Y: 2
P55 X: 28     P55 Y: 22
P56 X: 20     P56 Y: 18
P57 X: 15     P57 Y: 27
P58 X: 7     P58 Y: 5
P59 X: 8     P59 Y: 4
P60 X: 20     P60 Y: 1
P61 X: 13     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 22     P63 Y: 15
P64 X: 14     P64 Y: 28
P65 X: 11     P65 Y: 18
P66 X: 9     P66 Y: 2
P67 X: 0     P67 Y: 26
P68 X: 4     P68 Y: 14
P69 X: 6     P69 Y: 25
P70 X: 22     P70 Y: 27
P71 X: 13     P71 Y: 14
P72 X: 2     P72 Y: 24
P73 X: 28     P73 Y: 14
P74 X: 13     P74 Y: 17
P75 X: 28     P75 Y: 7
P76 X: 20     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 19     P78 Y: 10
P79 X: 14     P79 Y: 7
P80 X: 9     P80 Y: 3
P81 X: 14     P81 Y: 6
P82 X: 24     P82 Y: 14
P83 X: 10     P83 Y: 9
P84 X: 24     P84 Y: 23
P85 X: 3     P85 Y: 29
P86 X: 8     P86 Y: 15
P87 X: 6     P87 Y: 17
P88 X: 24     P88 Y: 0
P89 X: 11     P89 Y: 13
P90 X: 15     P90 Y: 25
P91 X: 21     P91 Y: 24
P92 X: 9     P92 Y: 18
P93 X: 22     P93 Y: 23
P94 X: 8     P94 Y: 28
P95 X: 24     P95 Y: 1
P96 X: 21     P96 Y: 25
P97 X: 18     P97 Y: 3
P98 X: 11     P98 Y: 0
P99 X: 14     P99 Y: 16
P100 X: 9     P100 Y: 10

P1 X: 6     P1 Y: 1
P2 X: 3     P2 Y: 11
P3 X: 28     P3 Y: 1
P4 X: 23     P4 Y: 1
P5 X: 21     P5 Y: 23
P6 X: 30     P6 Y: 20
P7 X: 2     P7 Y: 28
P8 X: 19     P8 Y: 27
P9 X: 18     P9 Y: 1
P10 X: 13     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 16
P13 X: 9     P13 Y: 21
P14 X: 15     P14 Y: 24
P15 X: 9     P15 Y: 1
P16 X: 28     P16 Y: 3
P17 X: 20     P17 Y: 30
P18 X: 22     P18 Y: 27
P19 X: 24     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 1     P21 Y: 8
P22 X: 20     P22 Y: 7
P23 X: 17     P23 Y: 15
P24 X: 14     P24 Y: 2
P25 X: 27     P25 Y: 7
P26 X: 11     P26 Y: 7
P27 X: 15     P27 Y: 2
P28 X: 16     P28 Y: 15
P29 X: 15     P29 Y: 20
P30 X: 29     P30 Y: 27
P31 X: 24     P31 Y: 7
P32 X: 24     P32 Y: 5
P33 X: 22     P33 Y: 14
P34 X: 11     P34 Y: 9
P35 X: 13     P35 Y: 20
P36 X: 7     P36 Y: 11
P37 X: 19     P37 Y: 24
P38 X: 24     P38 Y: 27
P39 X: 7     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 14
P42 X: 10     P42 Y: 28
P43 X: 17     P43 Y: 19
P44 X: 11     P44 Y: 28
P45 X: 22     P45 Y: 11
P46 X: 30     P46 Y: 20
P47 X: 25     P47 Y: 29
P48 X: 11     P48 Y: 22
P49 X: 11     P49 Y: 3
P50 X: 11     P50 Y: 2
P51 X: 28     P51 Y: 19
P52 X: 6     P52 Y: 3
P53 X: 24     P53 Y: 23
P54 X: 22     P54 Y: 2
P55 X: 25     P55 Y: 2
P56 X: 20     P56 Y: 24
P57 X: 4     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 0
P60 X: 20     P60 Y: 19
P61 X: 13     P61 Y: 18
P62 X: 29     P62 Y: 16
P63 X: 22     P63 Y: 11
P64 X: 2     P64 Y: 28
P65 X: 0     P65 Y: 14
P66 X: 2     P66 Y: 3
P67 X: 4     P67 Y: 19
P68 X: 1     P68 Y: 3
P69 X: 7     P69 Y: 18
P70 X: 22     P70 Y: 27
P71 X: 6     P71 Y: 14
P72 X: 3     P72 Y: 29
P73 X: 22     P73 Y: 16
P74 X: 2     P74 Y: 30
P75 X: 25     P75 Y: 24
P76 X: 1     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 0     P78 Y: 24
P79 X: 14     P79 Y: 4
P80 X: 0     P80 Y: 20
P81 X: 14     P81 Y: 16
P82 X: 24     P82 Y: 10
P83 X: 19     P83 Y: 3
P84 X: 9     P84 Y: 25
P85 X: 0     P85 Y: 10
P86 X: 8     P86 Y: 24
P87 X: 11     P87 Y: 6
P88 X: 13     P88 Y: 17
P89 X: 11     P89 Y: 26
P90 X: 20     P90 Y: 10
P91 X: 29     P91 Y: 13
P92 X: 18     P92 Y: 7
P93 X: 24     P93 Y: 29
P94 X: 9     P94 Y: 26
P95 X: 24     P95 Y: 11
P96 X: 21     P96 Y: 15
P97 X: 15     P97 Y: 12
P98 X: 29     P98 Y: 9
P99 X: 11     P99 Y: 21
P100 X: 23     P100 Y: 15

P1 X: 6     P1 Y: 9
P2 X: 4     P2 Y: 11
P3 X: 28     P3 Y: 10
P4 X: 23     P4 Y: 17
P5 X: 26     P5 Y: 14
P6 X: 30     P6 Y: 20
P7 X: 13     P7 Y: 28
P8 X: 13     P8 Y: 22
P9 X: 9     P9 Y: 1
P10 X: 28     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 1
P13 X: 9     P13 Y: 21
P14 X: 20     P14 Y: 23
P15 X: 9     P15 Y: 14
P16 X: 26     P16 Y: 3
P17 X: 7     P17 Y: 16
P18 X: 22     P18 Y: 27
P19 X: 10     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 5     P21 Y: 27
P22 X: 2     P22 Y: 22
P23 X: 21     P23 Y: 19
P24 X: 11     P24 Y: 4
P25 X: 27     P25 Y: 7
P26 X: 4     P26 Y: 26
P27 X: 0     P27 Y: 2
P28 X: 3     P28 Y: 15
P29 X: 15     P29 Y: 23
P30 X: 29     P30 Y: 9
P31 X: 20     P31 Y: 7
P32 X: 7     P32 Y: 9
P33 X: 30     P33 Y: 4
P34 X: 1     P34 Y: 9
P35 X: 25     P35 Y: 20
P36 X: 15     P36 Y: 30
P37 X: 19     P37 Y: 24
P38 X: 28     P38 Y: 27
P39 X: 1     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 18
P42 X: 29     P42 Y: 18
P43 X: 11     P43 Y: 24
P44 X: 26     P44 Y: 24
